species_name,SRA_run_accession,tissue,gene,count,refseq_id,Q1,Median,Q3,binary_count,n_total_samples,n_expressed_samples,percent_expressed
naked mole rat,SRR5517311,hypothalamus,Ppp2r2c,2197,XP_004847376.1,1.5,45,586,1,30,30,1
naked mole rat,SRR5517311,hypothalamus,Ppp2r2d,474,XP_021108913.1,1.5,45,586,1,30,30,1
naked mole rat,SRR5517311,hypothalamus,Prdm12,34,XP_004849163.1,1.5,45,586,0,30,11,0.366666666666667
naked mole rat,SRR5517311,hypothalamus,Sox3,163,XP_004862358.1,1.5,45,586,1,30,30,1
naked mole rat,SRR5517311,hypothalamus,Tbx1,16,XP_021112709.1,1.5,45,586,0,30,2,0.0666666666666667
naked mole rat,SRR5517312,cerebellum,Comp,320,XP_004873449.2,0,26,382,1,25,25,1
naked mole rat,SRR5517312,cerebellum,Foxl2,6,XP_004834389.1,0,26,382,0,25,2,0.08
naked mole rat,SRR5517312,cerebellum,Ppp2r2a,176,XP_021116966.1,0,26,382,1,25,25,1
naked mole rat,SRR5517312,cerebellum,Ppp2r2b,331,XP_004854409.1,0,26,382,1,25,25,1
naked mole rat,SRR5517312,cerebellum,Ppp2r2c,1766,XP_004847376.1,0,26,382,1,25,25,1
naked mole rat,SRR5517312,cerebellum,Ppp2r2d,392,XP_021108913.1,0,26,382,1,25,25,1
naked mole rat,SRR5517312,cerebellum,Prdm12,2,XP_004849163.1,0,26,382,0,25,2,0.08
naked mole rat,SRR5517312,cerebellum,Sox3,6,XP_004862358.1,0,26,382,0,25,3,0.12
naked mole rat,SRR5517312,cerebellum,Tbx1,2,XP_021112709.1,0,26,382,0,25,2,0.08
naked mole rat,SRR5517313,pituitary,Comp,31,XP_004873449.2,1.5,42,495,0,26,10,0.384615384615385
naked mole rat,SRR5517313,pituitary,Foxl2,159,XP_004834389.1,1.5,42,495,1,26,26,1
naked mole rat,SRR5517313,pituitary,Ppp2r2a,211,XP_021116966.1,1.5,42,495,1,26,26,1
naked mole rat,SRR5517313,pituitary,Ppp2r2b,428,XP_004854409.1,1.5,42,495,1,26,26,1
naked mole rat,SRR5517313,pituitary,Ppp2r2c,410,XP_004847376.1,1.5,42,495,1,26,26,1
naked mole rat,SRR5517313,pituitary,Ppp2r2d,444,XP_021108913.1,1.5,42,495,1,26,26,1
naked mole rat,SRR5517313,pituitary,Prdm12,5,XP_004849163.1,1.5,42,495,0,26,2,0.0769230769230769
naked mole rat,SRR5517313,pituitary,Sox3,81,XP_004862358.1,1.5,42,495,1,26,22,0.846153846153846
naked mole rat,SRR5517313,pituitary,Tbx1,22,XP_021112709.1,1.5,42,495,0,26,15,0.576923076923077
naked mole rat,SRR5517314,hypothalamus,Comp,19,XP_004873449.2,1.5,34,432,0,30,15,0.5
naked mole rat,SRR5517314,hypothalamus,Foxl2,13,XP_004834389.1,1.5,34,432,0,30,2,0.0666666666666667
naked mole rat,SRR5517314,hypothalamus,Ppp2r2a,230,XP_021116966.1,1.5,34,432,1,30,30,1
naked mole rat,SRR5517314,hypothalamus,Ppp2r2b,672,XP_004854409.1,1.5,34,432,1,30,30,1
naked mole rat,SRR5517314,hypothalamus,Ppp2r2c,1421,XP_004847376.1,1.5,34,432,1,30,30,1
naked mole rat,SRR5517314,hypothalamus,Ppp2r2d,382,XP_021108913.1,1.5,34,432,1,30,30,1
naked mole rat,SRR5517314,hypothalamus,Prdm12,20,XP_004849163.1,1.5,34,432,0,30,11,0.366666666666667
naked mole rat,SRR5517314,hypothalamus,Sox3,159,XP_004862358.1,1.5,34,432,1,30,30,1
naked mole rat,SRR5517314,hypothalamus,Tbx1,10,XP_021112709.1,1.5,34,432,0,30,2,0.0666666666666667
naked mole rat,SRR5517315,cerebellum,Comp,657,XP_004873449.2,1.5,32,506,1,25,25,1
naked mole rat,SRR5517315,cerebellum,Foxl2,3,XP_004834389.1,1.5,32,506,0,25,2,0.08
naked mole rat,SRR5517315,cerebellum,Ppp2r2a,229,XP_021116966.1,1.5,32,506,1,25,25,1
naked mole rat,SRR5517315,cerebellum,Ppp2r2b,378,XP_004854409.1,1.5,32,506,1,25,25,1
naked mole rat,SRR5517315,cerebellum,Ppp2r2c,2222,XP_004847376.1,1.5,32,506,1,25,25,1
naked mole rat,SRR5517315,cerebellum,Ppp2r2d,488,XP_021108913.1,1.5,32,506,1,25,25,1
naked mole rat,SRR5517315,cerebellum,Prdm12,7,XP_004849163.1,1.5,32,506,0,25,2,0.08
naked mole rat,SRR5517315,cerebellum,Sox3,9,XP_004862358.1,1.5,32,506,0,25,3,0.12
naked mole rat,SRR5517315,cerebellum,Tbx1,9,XP_021112709.1,1.5,32,506,0,25,2,0.08
naked mole rat,SRR5517316,pituitary,Comp,19,XP_004873449.2,1.5,36,441,0,26,10,0.384615384615385
naked mole rat,SRR5517316,pituitary,Foxl2,143,XP_004834389.1,1.5,36,441,1,26,26,1
naked mole rat,SRR5517316,pituitary,Ppp2r2a,206,XP_021116966.1,1.5,36,441,1,26,26,1
naked mole rat,SRR5517316,pituitary,Ppp2r2b,403,XP_004854409.1,1.5,36,441,1,26,26,1
naked mole rat,SRR5517316,pituitary,Ppp2r2c,457,XP_004847376.1,1.5,36,441,1,26,26,1
naked mole rat,SRR5517316,pituitary,Ppp2r2d,379,XP_021108913.1,1.5,36,441,1,26,26,1
naked mole rat,SRR5517316,pituitary,Prdm12,2,XP_004849163.1,1.5,36,441,0,26,2,0.0769230769230769
naked mole rat,SRR5517316,pituitary,Sox3,106,XP_004862358.1,1.5,36,441,1,26,22,0.846153846153846
naked mole rat,SRR5517316,pituitary,Tbx1,31,XP_021112709.1,1.5,36,441,0,26,15,0.576923076923077
