species_name,SRA_run_accession,tissue,gene,count,refseq_id,Q1,Median,Q3,binary_count,n_total_samples,n_expressed_samples,percent_expressed
naked mole rat,SRR1959152,brain,Ppp2r2d,502,XP_021108913.1,1.5,28,326,1,17,17,1
naked mole rat,SRR1959152,brain,Prdm12,7,XP_004849163.1,1.5,28,326,0,17,5,0.294117647058824
naked mole rat,SRR1959152,brain,Sox3,48,XP_004862358.1,1.5,28,326,1,17,10,0.588235294117647
naked mole rat,SRR1959152,brain,Tbx1,12,XP_021112709.1,1.5,28,326,0,17,4,0.235294117647059
naked mole rat,SRR1959162,brain,Comp,21,XP_004873449.2,1.5,32,358,0,17,4,0.235294117647059
naked mole rat,SRR1959162,brain,Foxl2,7,XP_004834389.1,1.5,32,358,0,17,2,0.117647058823529
naked mole rat,SRR1959162,brain,Ppp2r2a,412,XP_021116966.1,1.5,32,358,1,17,13,0.764705882352941
naked mole rat,SRR1959162,brain,Ppp2r2b,1190,XP_004854409.1,1.5,32,358,1,17,16,0.941176470588235
naked mole rat,SRR1959162,brain,Ppp2r2c,2727,XP_004847376.1,1.5,32,358,1,17,15,0.88235294117647
naked mole rat,SRR1959162,brain,Ppp2r2d,469,XP_021108913.1,1.5,32,358,1,17,17,1
naked mole rat,SRR1959162,brain,Prdm12,10,XP_004849163.1,1.5,32,358,0,17,5,0.294117647058824
naked mole rat,SRR1959162,brain,Sox3,31,XP_004862358.1,1.5,32,358,0,17,10,0.588235294117647
naked mole rat,SRR1959162,brain,Tbx1,16,XP_021112709.1,1.5,32,358,0,17,4,0.235294117647059
naked mole rat,SRR1959171,brain,Comp,16,XP_004873449.2,1.5,31,356,0,17,4,0.235294117647059
naked mole rat,SRR1959171,brain,Foxl2,3,XP_004834389.1,1.5,31,356,0,17,2,0.117647058823529
naked mole rat,SRR1959171,brain,Ppp2r2a,400,XP_021116966.1,1.5,31,356,1,17,13,0.764705882352941
naked mole rat,SRR1959171,brain,Ppp2r2b,1371,XP_004854409.1,1.5,31,356,1,17,16,0.941176470588235
naked mole rat,SRR1959171,brain,Ppp2r2c,3573,XP_004847376.1,1.5,31,356,1,17,15,0.88235294117647
naked mole rat,SRR1959171,brain,Ppp2r2d,478,XP_021108913.1,1.5,31,356,1,17,17,1
naked mole rat,SRR1959171,brain,Prdm12,5,XP_004849163.1,1.5,31,356,0,17,5,0.294117647058824
naked mole rat,SRR1959171,brain,Sox3,37,XP_004862358.1,1.5,31,356,1,17,10,0.588235294117647
naked mole rat,SRR1959171,brain,Tbx1,10,XP_021112709.1,1.5,31,356,0,17,4,0.235294117647059
naked mole rat,SRR1959180,brain,Comp,19,XP_004873449.2,1.5,30,334,0,17,4,0.235294117647059
naked mole rat,SRR1959180,brain,Foxl2,4,XP_004834389.1,1.5,30,334,0,17,2,0.117647058823529
naked mole rat,SRR1959180,brain,Ppp2r2a,415,XP_021116966.1,1.5,30,334,1,17,13,0.764705882352941
naked mole rat,SRR1959180,brain,Ppp2r2b,1306,XP_004854409.1,1.5,30,334,1,17,16,0.941176470588235
naked mole rat,SRR1959180,brain,Ppp2r2c,3145,XP_004847376.1,1.5,30,334,1,17,15,0.88235294117647
naked mole rat,SRR1959180,brain,Ppp2r2d,415,XP_021108913.1,1.5,30,334,1,17,17,1
naked mole rat,SRR1959180,brain,Prdm12,11,XP_004849163.1,1.5,30,334,0,17,5,0.294117647058824
naked mole rat,SRR1959180,brain,Sox3,23,XP_004862358.1,1.5,30,334,0,17,10,0.588235294117647
naked mole rat,SRR1959180,brain,Tbx1,17,XP_021112709.1,1.5,30,334,0,17,4,0.235294117647059
naked mole rat,SRR1959189,brain,Comp,20,XP_004873449.2,1.5,25,286,0,17,4,0.235294117647059
naked mole rat,SRR1959189,brain,Foxl2,4,XP_004834389.1,1.5,25,286,0,17,2,0.117647058823529
naked mole rat,SRR1959189,brain,Ppp2r2a,406,XP_021116966.1,1.5,25,286,1,17,13,0.764705882352941
naked mole rat,SRR1959189,brain,Ppp2r2b,983,XP_004854409.1,1.5,25,286,1,17,16,0.941176470588235
naked mole rat,SRR1959189,brain,Ppp2r2c,2878,XP_004847376.1,1.5,25,286,1,17,15,0.88235294117647
naked mole rat,SRR1959189,brain,Ppp2r2d,384,XP_021108913.1,1.5,25,286,1,17,17,1
naked mole rat,SRR1959189,brain,Prdm12,21,XP_004849163.1,1.5,25,286,0,17,5,0.294117647058824
naked mole rat,SRR1959189,brain,Sox3,43,XP_004862358.1,1.5,25,286,1,17,10,0.588235294117647
naked mole rat,SRR1959189,brain,Tbx1,11,XP_021112709.1,1.5,25,286,0,17,4,0.235294117647059
naked mole rat,SRR2120779,hypothalamus,Comp,0,XP_004873449.2,0,0,3,1,30,15,0.5
naked mole rat,SRR2120779,hypothalamus,Foxl2,0,XP_004834389.1,0,0,3,1,30,2,0.0666666666666667
naked mole rat,SRR2120779,hypothalamus,Ppp2r2a,1,XP_021116966.1,0,0,3,1,30,30,1
naked mole rat,SRR2120779,hypothalamus,Ppp2r2b,2,XP_004854409.1,0,0,3,1,30,30,1
naked mole rat,SRR2120779,hypothalamus,Ppp2r2c,0,XP_004847376.1,0,0,3,1,30,30,1
naked mole rat,SRR2120779,hypothalamus,Ppp2r2d,3,XP_021108913.1,0,0,3,1,30,30,1
naked mole rat,SRR2120779,hypothalamus,Prdm12,1,XP_004849163.1,0,0,3,1,30,11,0.366666666666667
naked mole rat,SRR2120779,hypothalamus,Sox3,0,XP_004862358.1,0,0,3,1,30,30,1
naked mole rat,SRR2120779,hypothalamus,Tbx1,0,XP_021112709.1,0,0,3,1,30,2,0.0666666666666667
naked mole rat,SRR2120811,hypothalamus,Comp,0,XP_004873449.2,0,0,3,1,30,15,0.5
naked mole rat,SRR2120811,hypothalamus,Foxl2,1,XP_004834389.1,0,0,3,1,30,2,0.0666666666666667
naked mole rat,SRR2120811,hypothalamus,Ppp2r2a,0,XP_021116966.1,0,0,3,1,30,30,1
naked mole rat,SRR2120811,hypothalamus,Ppp2r2b,2,XP_004854409.1,0,0,3,1,30,30,1
naked mole rat,SRR2120811,hypothalamus,Ppp2r2c,3,XP_004847376.1,0,0,3,1,30,30,1
naked mole rat,SRR2120811,hypothalamus,Ppp2r2d,1,XP_021108913.1,0,0,3,1,30,30,1
naked mole rat,SRR2120811,hypothalamus,Prdm12,1,XP_004849163.1,0,0,3,1,30,11,0.366666666666667
naked mole rat,SRR2120811,hypothalamus,Sox3,1,XP_004862358.1,0,0,3,1,30,30,1
naked mole rat,SRR2120811,hypothalamus,Tbx1,1,XP_021112709.1,0,0,3,1,30,2,0.0666666666666667
naked mole rat,SRR2120823,pituitary,Comp,0,XP_004873449.2,0,0,1.5,1,26,10,0.384615384615385
naked mole rat,SRR2120823,pituitary,Foxl2,1,XP_004834389.1,0,0,1.5,1,26,26,1
naked mole rat,SRR2120823,pituitary,Ppp2r2a,0,XP_021116966.1,0,0,1.5,1,26,26,1
naked mole rat,SRR2120823,pituitary,Ppp2r2b,0,XP_004854409.1,0,0,1.5,1,26,26,1
naked mole rat,SRR2120823,pituitary,Ppp2r2c,0,XP_004847376.1,0,0,1.5,1,26,26,1
naked mole rat,SRR2120823,pituitary,Ppp2r2d,1,XP_021108913.1,0,0,1.5,1,26,26,1
naked mole rat,SRR2120823,pituitary,Prdm12,0,XP_004849163.1,0,0,1.5,1,26,2,0.0769230769230769
naked mole rat,SRR2120823,pituitary,Sox3,0,XP_004862358.1,0,0,1.5,1,26,22,0.846153846153846
naked mole rat,SRR2120823,pituitary,Tbx1,0,XP_021112709.1,0,0,1.5,1,26,15,0.576923076923077
naked mole rat,SRR2120824,pituitary,Comp,1,XP_004873449.2,0,0,1.5,1,26,10,0.384615384615385
naked mole rat,SRR2120824,pituitary,Foxl2,0,XP_004834389.1,0,0,1.5,1,26,26,1
naked mole rat,SRR2120824,pituitary,Ppp2r2a,0,XP_021116966.1,0,0,1.5,1,26,26,1
naked mole rat,SRR2120824,pituitary,Ppp2r2b,0,XP_004854409.1,0,0,1.5,1,26,26,1
naked mole rat,SRR2120824,pituitary,Ppp2r2c,0,XP_004847376.1,0,0,1.5,1,26,26,1
naked mole rat,SRR2120824,pituitary,Ppp2r2d,2,XP_021108913.1,0,0,1.5,1,26,26,1
naked mole rat,SRR2120824,pituitary,Prdm12,0,XP_004849163.1,0,0,1.5,1,26,2,0.0769230769230769
naked mole rat,SRR2120824,pituitary,Sox3,0,XP_004862358.1,0,0,1.5,1,26,22,0.846153846153846
naked mole rat,SRR2120824,pituitary,Tbx1,0,XP_021112709.1,0,0,1.5,1,26,15,0.576923076923077
naked mole rat,SRR2123685,cerebellum,Comp,1,XP_004873449.2,0,0,3,1,25,25,1
naked mole rat,SRR2123685,cerebellum,Foxl2,0,XP_004834389.1,0,0,3,1,25,2,0.08
naked mole rat,SRR2123685,cerebellum,Ppp2r2a,0,XP_021116966.1,0,0,3,1,25,25,1
naked mole rat,SRR2123685,cerebellum,Ppp2r2b,0,XP_004854409.1,0,0,3,1,25,25,1
naked mole rat,SRR2123685,cerebellum,Ppp2r2c,1,XP_004847376.1,0,0,3,1,25,25,1
naked mole rat,SRR2123685,cerebellum,Ppp2r2d,4,XP_021108913.1,0,0,3,1,25,25,1
naked mole rat,SRR2123685,cerebellum,Prdm12,1,XP_004849163.1,0,0,3,1,25,2,0.08
naked mole rat,SRR2123685,cerebellum,Sox3,0,XP_004862358.1,0,0,3,1,25,3,0.12
naked mole rat,SRR2123685,cerebellum,Tbx1,2,XP_021112709.1,0,0,3,1,25,2,0.08
naked mole rat,SRR2123686,cerebellum,Comp,0,XP_004873449.2,0,0,3,1,25,25,1
naked mole rat,SRR2123686,cerebellum,Foxl2,0,XP_004834389.1,0,0,3,1,25,2,0.08
naked mole rat,SRR2123686,cerebellum,Ppp2r2a,0,XP_021116966.1,0,0,3,1,25,25,1
naked mole rat,SRR2123686,cerebellum,Ppp2r2b,2,XP_004854409.1,0,0,3,1,25,25,1
naked mole rat,SRR2123686,cerebellum,Ppp2r2c,3,XP_004847376.1,0,0,3,1,25,25,1
naked mole rat,SRR2123686,cerebellum,Ppp2r2d,4,XP_021108913.1,0,0,3,1,25,25,1
naked mole rat,SRR2123686,cerebellum,Prdm12,1,XP_004849163.1,0,0,3,1,25,2,0.08
naked mole rat,SRR2123686,cerebellum,Sox3,0,XP_004862358.1,0,0,3,1,25,3,0.12
naked mole rat,SRR2123686,cerebellum,Tbx1,2,XP_021112709.1,0,0,3,1,25,2,0.08
naked mole rat,SRR306400,brain,Comp,16,XP_004873449.2,1.5,34,406,0,17,4,0.235294117647059
naked mole rat,SRR306400,brain,Foxl2,5,XP_004834389.1,1.5,34,406,0,17,2,0.117647058823529
naked mole rat,SRR306400,brain,Ppp2r2a,513,XP_021116966.1,1.5,34,406,1,17,13,0.764705882352941
naked mole rat,SRR306400,brain,Ppp2r2b,1921,XP_004854409.1,1.5,34,406,1,17,16,0.941176470588235
naked mole rat,SRR306400,brain,Ppp2r2c,3298,XP_004847376.1,1.5,34,406,1,17,15,0.88235294117647
naked mole rat,SRR306400,brain,Ppp2r2d,722,XP_021108913.1,1.5,34,406,1,17,17,1
naked mole rat,SRR306400,brain,Prdm12,8,XP_004849163.1,1.5,34,406,0,17,5,0.294117647058824
naked mole rat,SRR306400,brain,Sox3,91,XP_004862358.1,1.5,34,406,1,17,10,0.588235294117647
naked mole rat,SRR306400,brain,Tbx1,14,XP_021112709.1,1.5,34,406,0,17,4,0.235294117647059
naked mole rat,SRR306401,brain,Comp,29,XP_004873449.2,1.5,24,278,1,17,4,0.235294117647059
naked mole rat,SRR306401,brain,Foxl2,6,XP_004834389.1,1.5,24,278,0,17,2,0.117647058823529
naked mole rat,SRR306401,brain,Ppp2r2a,305,XP_021116966.1,1.5,24,278,1,17,13,0.764705882352941
naked mole rat,SRR306401,brain,Ppp2r2b,855,XP_004854409.1,1.5,24,278,1,17,16,0.941176470588235
naked mole rat,SRR306401,brain,Ppp2r2c,2208,XP_004847376.1,1.5,24,278,1,17,15,0.88235294117647
naked mole rat,SRR306401,brain,Ppp2r2d,426,XP_021108913.1,1.5,24,278,1,17,17,1
naked mole rat,SRR306401,brain,Prdm12,15,XP_004849163.1,1.5,24,278,0,17,5,0.294117647058824
naked mole rat,SRR306401,brain,Sox3,16,XP_004862358.1,1.5,24,278,0,17,10,0.588235294117647
naked mole rat,SRR306401,brain,Tbx1,13,XP_021112709.1,1.5,24,278,0,17,4,0.235294117647059
naked mole rat,SRR306402,brain,Comp,57,XP_004873449.2,1.5,29,312,1,17,4,0.235294117647059
naked mole rat,SRR306402,brain,Foxl2,3,XP_004834389.1,1.5,29,312,0,17,2,0.117647058823529
naked mole rat,SRR306402,brain,Ppp2r2a,364,XP_021116966.1,1.5,29,312,1,17,13,0.764705882352941
naked mole rat,SRR306402,brain,Ppp2r2b,944,XP_004854409.1,1.5,29,312,1,17,16,0.941176470588235
naked mole rat,SRR306402,brain,Ppp2r2c,2288,XP_004847376.1,1.5,29,312,1,17,15,0.88235294117647
naked mole rat,SRR306402,brain,Ppp2r2d,416,XP_021108913.1,1.5,29,312,1,17,17,1
naked mole rat,SRR306402,brain,Prdm12,8,XP_004849163.1,1.5,29,312,0,17,5,0.294117647058824
naked mole rat,SRR306402,brain,Sox3,13,XP_004862358.1,1.5,29,312,0,17,10,0.588235294117647
naked mole rat,SRR306402,brain,Tbx1,15,XP_021112709.1,1.5,29,312,0,17,4,0.235294117647059
naked mole rat,SRR306406,brain,Comp,45,XP_004873449.2,1.5,39,458,1,17,4,0.235294117647059
naked mole rat,SRR306406,brain,Foxl2,6,XP_004834389.1,1.5,39,458,0,17,2,0.117647058823529
naked mole rat,SRR306406,brain,Ppp2r2a,641,XP_021116966.1,1.5,39,458,1,17,13,0.764705882352941
naked mole rat,SRR306406,brain,Ppp2r2b,1640,XP_004854409.1,1.5,39,458,1,17,16,0.941176470588235
naked mole rat,SRR306406,brain,Ppp2r2c,4005,XP_004847376.1,1.5,39,458,1,17,15,0.88235294117647
naked mole rat,SRR306406,brain,Ppp2r2d,741,XP_021108913.1,1.5,39,458,1,17,17,1
naked mole rat,SRR306406,brain,Prdm12,13,XP_004849163.1,1.5,39,458,0,17,5,0.294117647058824
naked mole rat,SRR306406,brain,Sox3,66,XP_004862358.1,1.5,39,458,1,17,10,0.588235294117647
naked mole rat,SRR306406,brain,Tbx1,9,XP_021112709.1,1.5,39,458,0,17,4,0.235294117647059
naked mole rat,SRR5517307,pituitary,Comp,18,XP_004873449.2,1.5,28,348,0,26,10,0.384615384615385
naked mole rat,SRR5517307,pituitary,Foxl2,111,XP_004834389.1,1.5,28,348,1,26,26,1
naked mole rat,SRR5517307,pituitary,Ppp2r2a,153,XP_021116966.1,1.5,28,348,1,26,26,1
naked mole rat,SRR5517307,pituitary,Ppp2r2b,292,XP_004854409.1,1.5,28,348,1,26,26,1
naked mole rat,SRR5517307,pituitary,Ppp2r2c,308,XP_004847376.1,1.5,28,348,1,26,26,1
naked mole rat,SRR5517307,pituitary,Ppp2r2d,318,XP_021108913.1,1.5,28,348,1,26,26,1
naked mole rat,SRR5517307,pituitary,Prdm12,0,XP_004849163.1,1.5,28,348,0,26,2,0.0769230769230769
naked mole rat,SRR5517307,pituitary,Sox3,23,XP_004862358.1,1.5,28,348,0,26,22,0.846153846153846
naked mole rat,SRR5517307,pituitary,Tbx1,37,XP_021112709.1,1.5,28,348,1,26,15,0.576923076923077
naked mole rat,SRR5517308,hypothalamus,Comp,39,XP_004873449.2,1.5,38,452,1,30,15,0.5
naked mole rat,SRR5517308,hypothalamus,Foxl2,27,XP_004834389.1,1.5,38,452,0,30,2,0.0666666666666667
naked mole rat,SRR5517308,hypothalamus,Ppp2r2a,244,XP_021116966.1,1.5,38,452,1,30,30,1
naked mole rat,SRR5517308,hypothalamus,Ppp2r2b,661,XP_004854409.1,1.5,38,452,1,30,30,1
naked mole rat,SRR5517308,hypothalamus,Ppp2r2c,1268,XP_004847376.1,1.5,38,452,1,30,30,1
naked mole rat,SRR5517308,hypothalamus,Ppp2r2d,288,XP_021108913.1,1.5,38,452,1,30,30,1
naked mole rat,SRR5517308,hypothalamus,Prdm12,49,XP_004849163.1,1.5,38,452,1,30,11,0.366666666666667
