species_name,SRA_run_accession,library_layout,tissue,genome_refseq_accession,genome_ftp_path
Arctic_ground_squirrel,SRR7539093,PAIRED,skeletal muscle,GCF_003426925.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/426/925/GCF_003426925.1_ASM342692v1
Arctic_ground_squirrel,SRR7539094,PAIRED,skeletal muscle,GCF_003426925.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/426/925/GCF_003426925.1_ASM342692v1
Arctic_ground_squirrel,SRR7539095,PAIRED,skeletal muscle,GCF_003426925.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/426/925/GCF_003426925.1_ASM342692v1
Arctic_ground_squirrel,SRR7539096,PAIRED,skeletal muscle,GCF_003426925.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/426/925/GCF_003426925.1_ASM342692v1
Arctic_ground_squirrel,SRR7539097,PAIRED,skeletal muscle,GCF_003426925.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/426/925/GCF_003426925.1_ASM342692v1
Arctic_ground_squirrel,SRR7539098,PAIRED,skeletal muscle,GCF_003426925.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/426/925/GCF_003426925.1_ASM342692v1
Arctic_ground_squirrel,SRR7539099,PAIRED,skeletal muscle,GCF_003426925.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/426/925/GCF_003426925.1_ASM342692v1
Arctic_ground_squirrel,SRR7539100,PAIRED,skeletal muscle,GCF_003426925.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/426/925/GCF_003426925.1_ASM342692v1
Arctic_ground_squirrel,SRR7539101,PAIRED,skeletal muscle,GCF_003426925.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/426/925/GCF_003426925.1_ASM342692v1
Arctic_ground_squirrel,SRR7539102,PAIRED,skeletal muscle,GCF_003426925.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/426/925/GCF_003426925.1_ASM342692v1
Arctic_ground_squirrel,SRR7539103,PAIRED,skeletal muscle,GCF_003426925.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/426/925/GCF_003426925.1_ASM342692v1
Arctic_ground_squirrel,SRR7539104,PAIRED,skeletal muscle,GCF_003426925.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/426/925/GCF_003426925.1_ASM342692v1
Australian_echidna,SRR10530487,SINGLE,brain,GCF_015852505.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/852/505/GCF_015852505.1_mTacAcu1.pri
Australian_echidna,SRR10530491,SINGLE,cerebellum,GCF_015852505.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/852/505/GCF_015852505.1_mTacAcu1.pri
Australian_echidna,SRR10530493,SINGLE,brain,GCF_015852505.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/852/505/GCF_015852505.1_mTacAcu1.pri
Bengalese_finch,SRR5223627,PAIRED,forebrain,GCF_005870125.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/870/125/GCF_005870125.1_lonStrDom2
Bengalese_finch,SRR5223628,PAIRED,forebrain,GCF_005870125.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/870/125/GCF_005870125.1_lonStrDom2
Bengalese_finch,SRR5223630,PAIRED,cerebellum,GCF_005870125.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/870/125/GCF_005870125.1_lonStrDom2
Bengalese_finch,SRR5223633,PAIRED,forebrain,GCF_005870125.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/870/125/GCF_005870125.1_lonStrDom2
Bengalese_finch,SRR5223634,PAIRED,forebrain,GCF_005870125.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/870/125/GCF_005870125.1_lonStrDom2
Bengalese_finch,SRR9295869,SINGLE,forebrain,GCF_005870125.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/870/125/GCF_005870125.1_lonStrDom2
Bengalese_finch,SRR9295870,SINGLE,forebrain,GCF_005870125.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/870/125/GCF_005870125.1_lonStrDom2
Bengalese_finch,SRR9295871,SINGLE,forebrain,GCF_005870125.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/870/125/GCF_005870125.1_lonStrDom2
Bengalese_finch,SRR9295872,SINGLE,forebrain,GCF_005870125.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/870/125/GCF_005870125.1_lonStrDom2
Bengalese_finch,SRR9295873,SINGLE,forebrain,GCF_005870125.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/870/125/GCF_005870125.1_lonStrDom2
Bengalese_finch,SRR9295874,SINGLE,forebrain,GCF_005870125.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/870/125/GCF_005870125.1_lonStrDom2
Bengalese_finch,SRR9295875,SINGLE,forebrain,GCF_005870125.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/870/125/GCF_005870125.1_lonStrDom2
Bengalese_finch,SRR9295876,SINGLE,forebrain,GCF_005870125.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/870/125/GCF_005870125.1_lonStrDom2
Bengalese_finch,SRR9295877,SINGLE,forebrain,GCF_005870125.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/870/125/GCF_005870125.1_lonStrDom2
Bengalese_finch,SRR9295878,SINGLE,forebrain,GCF_005870125.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/870/125/GCF_005870125.1_lonStrDom2
Bengalese_finch,SRR9295879,SINGLE,forebrain,GCF_005870125.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/870/125/GCF_005870125.1_lonStrDom2
Bengalese_finch,SRR9295880,SINGLE,forebrain,GCF_005870125.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/870/125/GCF_005870125.1_lonStrDom2
Bengalese_finch,SRR9295881,SINGLE,forebrain,GCF_005870125.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/870/125/GCF_005870125.1_lonStrDom2
