Common Name,AR,ARX,ATN1,CACNA1A,COMP,FOXL2,HOXA13,JPH3,NIPA1,PABPN1,PHOX2B,PRDM12,RUNX2,SOX3,TBP,TBX1,ZIC2
sea lamprey,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
sharpbill,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
short-eared elephant shrew,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
short-legged ground-roller,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
shrew mouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
siamang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
slow loris,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
smalleye Pacific opah,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
snow leopard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
sockeye salmon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sooty mangabey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
southern bluefin tuna,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
southern multimammate mouse,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
southern platyfish,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
southern screamer,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
southern two-toed sloth,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
speckled mousebird,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
starlet sea anemone,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
striped catfish,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
striped hyena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
sunbittern,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sungrebe,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
superb lyrebird,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tambaqui,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tammar wallaby,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tawny frogmouth,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
thorny skate,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
three-spined stickleback,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tiger tail seahorse,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
torafugu,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tufted capuchin,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
turquoise killifish,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
two-spotted spider mite,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
walleye pollock,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
western mosquitofish,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
white-bellied storm-petrel,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
white-tailed eagle,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
white-tailed rat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
white-throated tinamou,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
white-toothed pygmy shrew,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
white-tufted-ear marmoset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
yellow catfish,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
yellow-footed antechinus,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
yellowfin tuna,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
