Common Name,AR,ARX,ATN1,CACNA1A,COMP,FOXL2,HOXA13,JPH3,NIPA1,PABPN1,PHOX2B,PRDM12,RUNX2,SOX3,TBP,TBX1,ZIC2
Enhydra lutris kenyoni,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Equus quagga,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Erect-crested penguin,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Eurasian badger,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Eurasian river otter,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
European shrew,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
European starfish,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
European woodmouse,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Eurystomus gularis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Florida lancelet,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Formicarius rufipectus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fregata magnificens,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Furnarius figulus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Galemys pyrenaicus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghost shark,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Girardinichthys multiradiatus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Glareola pratincola,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Glossina fuscipes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gulf pipefish,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hawaiian monk seal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hemibagrus wyckioides,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hemiprocne comata,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Herpetotheres cachinnans,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Humboldt's penguin,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ibidorhyncha struthersii,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Indian cobra,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Indian flying fox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Indicator indicator,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kakapo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kea,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
King cobra,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Komodo dragon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Kuhl's pipistrelle,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Lacerta agilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Limosa lapponica baueri,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Little blue penguin,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Macaroni penguin,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Macrostomum lignano,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Magellanic penguin,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Malayan pangolin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mariana crow,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mediterranean mussel,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mekong giant catfish,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mercenaria mercenaria,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mexican tetra,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mongolian gerbil,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Monterrey platyfish,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Myiozetetes cayanensis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Myotis myotis,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mytilus edulis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Neopipo cinnamomea,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonian crow,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nile tilapia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
North African catfish,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Northern American river otter,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Northern elephant seal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Northern fulmar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Northern goshawk,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Nothocercus nigrocapillus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nothoprocta ornata,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nothoprocta pentlandii,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nothoprocta perdicaria,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nyctibius grandis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nyctiprogne leucopyga,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
